Row,Action,1,2,3,4,5,6,7,Average
1,Shelves\_Lamp\_Toggle,38,40,40,0,0,0,0,17
2,Spotify\_PlayPause,60,100,17,40,50,0,0,38
3,Spotify\_Next,0,50,14,75,100,0,0,40
4,Architect\_Lamp\_Toggle,80,60,20,100,20,0,100,54
5,TV\_Lamp\_Toggle,100,100,0,100,100,0,100,71
6,Spotify\_PlayPause (Virtual),0,0,0,75,67,0,75,54
7,Shelves\_Lamp\_Toggle,60,83,22,33,0,0,0,33
8,Average,56,72,16,60,48,0,46,44
